OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Discount
5001,2024-10-16,1015,2038,North,1,1291.22,0.0
5002,2023-10-09,1032,2015,South,2,713.16,0.05
5003,2023-05-23,1095,2044,North,7,601.31,0.1
5004,2024-11-23,1095,2042,North,3,1594.47,0.0
5005,2024-08-27,1055,2040,North,6,1277.49,0.0
5006,2023-01-31,1012,2017,South,2,536.18,0.0
5007,2023-08-27,1065,2044,North,5,1509.7,0.1
5008,2024-07-28,1026,2022,West,6,1416.07,0.0
5009,2023-08-14,1058,2027,East,8,801.15,0.0
5010,2023-01-07,1098,2004,South,1,1679.89,0.0
5011,2024-12-15,1055,2037,East,9,1188.11,0.0
5012,2023-10-12,1020,2003,South,3,1083.78,0.0
5013,2023-12-11,1014,2013,North,4,1616.28,0.1
5014,2024-01-25,1013,2016,East,4,1083.47,0.05
5015,2023-12-19,1078,2014,East,8,963.71,0.1
5016,2023-02-14,1094,2015,West,2,266.11,0.1
5017,2024-07-03,1016,2017,West,3,874.43,0.0
5018,2023-03-22,1071,2007,East,8,1175.12,0.0
5019,2024-10-05,1080,2041,East,4,1579.82,0.05
5020,2024-08-14,1025,2045,North,1,92.37,0.0
5021,2023-02-16,1085,2016,South,5,824.66,0.0
5022,2023-10-24,1011,2017,South,1,979.86,0.05
5023,2023-04-14,1049,2003,East,1,183.94,0.05
5024,2024-04-09,1082,2031,East,6,1188.66,0.0
5025,2023-06-16,1048,2001,East,7,93.28,0.05
5026,2023-08-03,1086,2043,East,7,1054.59,0.1
5027,2024-12-19,1088,2016,North,5,1266.96,0.0
5028,2024-09-15,1082,2007,South,5,1983.12,0.0
5029,2024-06-30,1094,2012,South,7,402.4,0.0
5030,2023-06-17,1060,2032,West,4,1521.36,0.0
5031,2023-10-04,1082,2010,South,6,475.31,0.0
5032,2024-12-02,1042,2001,North,1,43.01,0.0
5033,2023-08-23,1005,2029,East,7,1347.36,0.15
5034,2024-02-15,1035,2002,North,3,340.11,0.0
5035,2023-08-05,1073,2043,East,3,1253.47,0.05
5036,2023-08-06,1084,2032,West,6,351.89,0.0
5037,2024-02-10,1083,2025,West,4,1415.27,0.0
5038,2023-05-27,1034,2023,South,5,1142.69,0.1
5039,2023-09-10,1096,2029,East,5,1631.26,0.0
5040,2024-08-21,1055,2045,West,7,604.65,0.1
5041,2024-01-06,1029,2031,South,7,1080.01,0.0
5042,2024-06-05,1064,2023,North,4,895.97,0.1
5043,2023-02-18,1015,2041,South,4,1855.46,0.05
5044,2024-10-04,1021,2045,West,6,299.73,0.0
5045,2024-09-02,1009,2043,West,4,890.23,0.0
5046,2024-01-26,1077,2022,West,2,278.81,0.1
5047,2024-06-25,1033,2012,North,2,962.52,0.0
5048,2024-11-27,1093,2006,North,4,712.41,0.1
